com.victronenergy.solarcharger.ttyO0
/Mgmt/Connection	STRING	VE.Direct	VE.Direct
/History/Daily/17/MaxBatteryVoltage	DOUBLE	26.529999732971191	26.53V
/History/Daily/17/Consumption	ARRAY	[]	
/History/Daily/17/Yield	DOUBLE	0.05999999865889549	0.06kWh
/History/Daily/17/Nr	INT32	161	161
/History/Daily/16/TimeInFloat	DOUBLE	0.0	0s
/History/Daily/16/TimeInAbsorption	DOUBLE	0.0	0s
/History/Daily/16/TimeInBulk	DOUBLE	1439.0	1439s
/History/Daily/16/LastError4	INT32	0	0
/History/Daily/16/LastError3	INT32	0	0
/History/Daily/16/LastError2	INT32	0	0
/History/Daily/16/LastError1	INT32	0	0
/History/Daily/16/MaxPvVoltage	DOUBLE	50.08000183105469	50.08V
/History/Daily/16/MaxPower	DOUBLE	36.0	36W
/History/Daily/16/MaxBatteryCurrent	DOUBLE	2.5999999046325684	2.6A
/History/Daily/16/MinBatteryVoltage	DOUBLE	26.470000267028809	26.47V
/History/Daily/16/MaxBatteryVoltage	DOUBLE	26.529999732971191	26.53V
/History/Daily/16/Consumption	ARRAY	[]	
/History/Daily/16/Yield	DOUBLE	0.05000000074505806	0.05kWh
/History/Daily/16/Nr	INT32	162	162
/History/Daily/15/TimeInFloat	DOUBLE	0.0	0s
/History/Daily/15/TimeInAbsorption	DOUBLE	0.0	0s
/History/Daily/15/TimeInBulk	DOUBLE	1439.0	1439s
/History/Daily/15/LastError4	INT32	0	0
/History/Daily/15/LastError3	INT32	0	0
/History/Daily/15/LastError2	INT32	0	0
/History/Daily/15/LastError1	INT32	0	0
/History/Daily/15/MaxPvVoltage	DOUBLE	50.08000183105469	50.08V
/History/Daily/15/MaxPower	DOUBLE	43.0	43W
/History/Daily/15/MaxBatteryCurrent	DOUBLE	3.0	3.0A
/History/Daily/15/MinBatteryVoltage	DOUBLE	26.479999542236328	26.48V
/History/Daily/15/MaxBatteryVoltage	DOUBLE	26.529999732971191	26.53V
/History/Daily/15/Consumption	ARRAY	[]	
/History/Daily/15/Yield	DOUBLE	0.05000000074505806	0.05kWh
/History/Daily/15/Nr	INT32	163	163
/History/Daily/14/TimeInFloat	DOUBLE	1.0	1s
/History/Daily/14/TimeInAbsorption	DOUBLE	0.0	0s
/History/Daily/14/TimeInBulk	DOUBLE	1437.0	1437s
/History/Daily/14/LastError4	INT32	0	0
/History/Daily/14/LastError3	INT32	0	0
/History/Daily/14/LastError2	INT32	0	0
/History/Daily/14/LastError1	INT32	0	0
/History/Daily/14/MaxPvVoltage	DOUBLE	50.08000183105469	50.08V
/History/Daily/14/MaxPower	DOUBLE	36.0	36W
/History/Daily/14/MaxBatteryCurrent	DOUBLE	2.5999999046325684	2.6A
/History/Daily/14/MinBatteryVoltage	DOUBLE	26.470000267028809	26.47V
/History/Daily/14/MaxBatteryVoltage	DOUBLE	26.539999961853027	26.54V
/History/Daily/14/Consumption	ARRAY	[]	
/History/Daily/14/Yield	DOUBLE	0.05000000074505806	0.05kWh
/History/Daily/14/Nr	INT32	164	164
/History/Daily/13/TimeInFloat	DOUBLE	1.0	1s
/History/Daily/13/TimeInAbsorption	DOUBLE	0.0	0s
/History/Daily/13/TimeInBulk	DOUBLE	1437.0	1437s
/History/Daily/13/LastError4	INT32	0	0
/History/Daily/13/LastError3	INT32	0	0
/History/Daily/13/LastError2	INT32	0	0
/History/Daily/13/LastError1	INT32	0	0
/History/Daily/13/MaxPvVoltage	DOUBLE	50.08000183105469	50.08V
/History/Daily/13/MaxPower	DOUBLE	58.0	58W
/History/Daily/13/MaxBatteryCurrent	DOUBLE	4.099999904632568	4.1A
/History/Daily/13/MinBatteryVoltage	DOUBLE	26.479999542236328	26.48V
/History/Daily/13/MaxBatteryVoltage	DOUBLE	26.609999656677246	26.61V
/History/Daily/13/Consumption	ARRAY	[]	
/History/Daily/13/Yield	DOUBLE	0.9800000190734863	0.98kWh
/History/Daily/13/Nr	INT32	165	165
/History/Daily/12/TimeInFloat	DOUBLE	959.0	959s
/History/Daily/12/TimeInAbsorption	DOUBLE	49.0	49s
/History/Daily/12/TimeInBulk	DOUBLE	110.0	110s
/History/Daily/12/LastError4	INT32	0	0
/History/Daily/12/LastError3	INT32	0	0
/History/Daily/12/LastError2	INT32	0	0
/History/Daily/12/LastError1	INT32	0	0
/History/Daily/12/MaxPvVoltage	DOUBLE	50.08000183105469	50.08V
/History/Daily/12/MaxPower	DOUBLE	421.0	421W
/History/Daily/12/MaxBatteryCurrent	DOUBLE	28.799999237060547	28.8A
/History/Daily/12/MinBatteryVoltage	DOUBLE	26.470000267028809	26.47V
/History/Daily/12/MaxBatteryVoltage	DOUBLE	14.40999984741211	14.41V
/History/Daily/12/Consumption	ARRAY	[]	
/History/Daily/12/Yield	DOUBLE	0.14000000059604645	0.14kWh
/History/Daily/12/Nr	INT32	166	166
/History/Daily/11/TimeInFloat	DOUBLE	0.0	0s
/History/Daily/11/TimeInAbsorption	DOUBLE	0.0	0s
/History/Daily/11/TimeInBulk	DOUBLE	0.0	0s
/History/Daily/11/LastError4	INT32	0	0
/History/Daily/11/LastError3	INT32	0	0
/History/Daily/11/LastError2	INT32	0	0
/History/Daily/11/LastError1	INT32	0	0
/History/Daily/11/MaxPvVoltage	DOUBLE	0.019999999552965164	0.02V
/History/Daily/11/MaxPower	DOUBLE	0.0	0W
/History/Daily/11/MaxBatteryCurrent	DOUBLE	0.0	0.0A
/History/Daily/11/MinBatteryVoltage	DOUBLE	26.460000038146973	26.46V
/History/Daily/11/MaxBatteryVoltage	DOUBLE	14.210000038146973	14.21V
/History/Daily/11/Consumption	ARRAY	[]	
/History/Daily/11/Yield	DOUBLE	0.0	0.00kWh
/History/Daily/11/Nr	INT32	167	167
/History/Daily/10/TimeInFloat	DOUBLE	0.0	0s
/History/Daily/10/TimeInAbsorption	DOUBLE	0.0	0s
/History/Daily/10/TimeInBulk	DOUBLE	0.0	0s
/History/Daily/10/LastError4	INT32	0	0
/History/Daily/10/LastError3	INT32	0	0
/History/Daily/10/LastError2	INT32	0	0
/History/Daily/10/LastError1	INT32	0	0
/History/Daily/10/MaxPvVoltage	DOUBLE	0.019999999552965164	0.02V
/History/Daily/10/MaxPower	DOUBLE	0.0	0W
/History/Daily/10/MaxBatteryCurrent	DOUBLE	0.0	0.0A
/History/Daily/10/MinBatteryVoltage	DOUBLE	26.470000267028809	26.47V
