com.victronenergy.battery.socketcan_can0_vi0_uc231681
68	/History/TimeSinceLastFullCharge	INT32	32	32s
69	/History/TimeSinceLastFullCharge	INT32	33	33s
69	/Dc/0/Current	DOUBLE	-1.100000023841858	-1.1A
69	/Dc/0/Power	INT32	-29	-29W
70	/History/TimeSinceLastFullCharge	INT32	34	34s
71	/Dc/0/Current	DOUBLE	-0.8999999761581421	-0.9A
71	/Dc/0/Power	INT32	-24	-24W
71	/History/TimeSinceLastFullCharge	INT32	35	35s
72	/History/TimeSinceLastFullCharge	INT32	36	36s
72	/Dc/0/Current	DOUBLE	-0.800000011920929	-0.8A
72	/Dc/0/Power	INT32	-21	-21W
73	/History/TimeSinceLastFullCharge	INT32	37	37s
74	/Dc/0/Current	DOUBLE	-0.8999999761581421	-0.9A
74	/Dc/0/Power	INT32	-24	-24W
74	/History/TimeSinceLastFullCharge	INT32	38	38s
75	/History/TimeSinceLastFullCharge	INT32	39	39s
75	/Dc/0/Current	DOUBLE	-0.699999988079071	-0.7A
75	/Dc/0/Power	INT32	-18	-18W
76	/History/TimeSinceLastFullCharge	INT32	40	40s
77	/Dc/0/Current	DOUBLE	-0.6000000238418579	-0.6A
77	/Dc/0/Power	INT32	-16	-16W
77	/History/TimeSinceLastFullCharge	INT32	41	41s
78	/Dc/0/Current	DOUBLE	-0.800000011920929	-0.8A
78	/Dc/0/Power	INT32	-21	-21W
78	/History/TimeSinceLastFullCharge	INT32	42	42s
79	/History/TimeSinceLastFullCharge	INT32	43	43s
80	/Dc/0/Current	DOUBLE	-0.699999988079071	-0.7A
80	/Dc/0/Power	INT32	-18	-18W
80	/History/TimeSinceLastFullCharge	INT32	44	44s
82	/History/TimeSinceLastFullCharge	INT32	45	45s
83	/History/TimeSinceLastFullCharge	INT32	46	46s
83	/Dc/0/Current	DOUBLE	-0.4000000059604645	-0.4A
83	/Dc/0/Power	INT32	-10	-10W
84	/History/TimeSinceLastFullCharge	INT32	47	47s
84	/Dc/0/Current	DOUBLE	-0.30000001192092896	-0.3A
84	/Dc/0/Power	INT32	-8	-8W
85	/Soc	DOUBLE	99.9800033569336	100.0%
85	/History/TimeSinceLastFullCharge	INT32	48	48s
86	/History/TimeSinceLastFullCharge	INT32	49	49s
86	/Dc/0/Current	DOUBLE	-0.4000000059604645	-0.4A
86	/Dc/0/Power	INT32	-10	-10W
87	/History/TimeSinceLastFullCharge	INT32	50	50s
87	/Dc/0/Current	DOUBLE	-0.5	-0.5A
87	/Dc/0/Power	INT32	-13	-13W
88	/History/TimeSinceLastFullCharge	INT32	51	51s
89	/Dc/0/Current	DOUBLE	-0.6000000238418579	-0.6A
89	/Dc/0/Power	INT32	-16	-16W
89	/History/TimeSinceLastFullCharge	INT32	52	52s
90	/History/TimeSinceLastFullCharge	INT32	53	53s
90	/Dc/0/Current	DOUBLE	-0.4000000059604645	-0.4A
90	/Dc/0/Power	INT32	-10	-10W
91	/History/TimeSinceLastFullCharge	INT32	54	54s
92	/Dc/0/Current	DOUBLE	-0.6000000238418579	-0.6A
92	/Dc/0/Power	INT32	-16	-16W
92	/History/TimeSinceLastFullCharge	INT32	55	55s
93	/History/TimeSinceLastFullCharge	INT32	56	56s
93	/Dc/0/Current	DOUBLE	-0.5	-0.5A
93	/Dc/0/Power	INT32	-13	-13W
94	/History/TimeSinceLastFullCharge	INT32	57	57s
95	/History/TimeSinceLastFullCharge	INT32	58	58s
96	/History/TimeSinceLastFullCharge	INT32	59	59s
97	/History/TimeSinceLastFullCharge	INT32	60	60s
98	/Dc/0/Current	DOUBLE	-0.8999999761581421	-0.9A
98	/Dc/0/Power	INT32	-24	-24W
98	/History/TimeSinceLastFullCharge	INT32	61	61s
99	/Dc/0/Voltage	DOUBLE	26.969999313354492	26.97V
99	/Dc/0/Current	DOUBLE	-1.0	-1.0A
99	/Dc/0/Power	INT32	-26	-26W
99	/History/TimeSinceLastFullCharge	INT32	62	62s
100	/History/TimeSinceLastFullCharge	INT32	63	63s
101	/Dc/0/Current	DOUBLE	-0.699999988079071	-0.7A
101	/Dc/0/Power	INT32	-18	-18W
101	/History/TimeSinceLastFullCharge	INT32	64	64s
102	/Dc/0/Current	DOUBLE	-0.800000011920929	-0.8A
102	/Dc/0/Power	INT32	-21	-21W
103	/History/TimeSinceLastFullCharge	INT32	65	65s
104	/History/TimeSinceLastFullCharge	INT32	66	66s
104	/Dc/0/Current	DOUBLE	-0.699999988079071	-0.7A
104	/Dc/0/Power	INT32	-18	-18W
105	/History/TimeSinceLastFullCharge	INT32	67	67s
105	/Dc/0/Voltage	DOUBLE	26.979999542236328	26.98V
105	/Dc/0/Current	DOUBLE	-0.6000000238418579	-0.6A
105	/Dc/0/Power	INT32	-16	-16W
106	/History/TimeSinceLastFullCharge	INT32	68	68s
107	/History/TimeSinceLastFullCharge	INT32	69	69s
107	/Dc/0/Voltage	DOUBLE	26.969999313354492	26.97V
107	/Dc/0/Current	DOUBLE	-0.800000011920929	-0.8A
107	/Dc/0/Power	INT32	-21	-21W
108	/History/TimeSinceLastFullCharge	INT32	70	70s
108	/Dc/0/Voltage	DOUBLE	26.979999542236328	26.98V
108	/Dc/0/Current	DOUBLE	-0.8999999761581421	-0.9A
108	/Dc/0/Power	INT32	-24	-24W
109	/History/TimeSinceLastFullCharge	INT32	71	71s
110	/Dc/0/Voltage	DOUBLE	26.969999313354492	26.97V
110	/Dc/0/Current	DOUBLE	-0.699999988079071	-0.7A
110	/Dc/0/Power	INT32	-18	-18W
110	/History/TimeSinceLastFullCharge	INT32	72	72s
111	/History/TimeSinceLastFullCharge	INT32	73	73s
112	/History/TimeSinceLastFullCharge	INT32	74	74s
113	/History/TimeSinceLastFullCharge	INT32	75	75s
114	/History/TimeSinceLastFullCharge	INT32	76	76s
114	/Dc/0/Current	DOUBLE	-0.800000011920929	-0.8A
114	/Dc/0/Power	INT32	-21	-21W
115	/History/TimeSinceLastFullCharge	INT32	77	77s
116	/Dc/0/Current	DOUBLE	-0.6000000238418579	-0.6A
116	/Dc/0/Power	INT32	-16	-16W
116	/History/TimeSinceLastFullCharge	INT32	78	78s
117	/History/DischargedEnergy	DOUBLE	1.5499999523162842	1.55kWh
117	/History/TimeSinceLastFullCharge	INT32	79	79s
117	/Dc/0/Current	DOUBLE	-0.5	-0.5A
117	/Dc/0/Power	INT32	-13	-13W
118	/History/TimeSinceLastFullCharge	INT32	80	80s
119	/Dc/0/Current	DOUBLE	-0.4000000059604645	-0.4A
119	/Dc/0/Power	INT32	-10	-10W
119	/History/TimeSinceLastFullCharge	INT32	81	81s
120	/Dc/0/Current	DOUBLE	-0.6000000238418579	-0.6A
120	/Dc/0/Power	INT32	-16	-16W
120	/History/TimeSinceLastFullCharge	INT32	82	82s
121	/History/TimeSinceLastFullCharge	INT32	83	83s
122	/Dc/0/Current	DOUBLE	-0.5	-0.5A
122	/Dc/0/Power	INT32	-13	-13W
122	/History/TimeSinceLastFullCharge	INT32	84	84s
123	/Dc/0/Current	DOUBLE	-0.6000000238418579	-0.6A
123	/Dc/0/Power	INT32	-16	-16W
124	/History/TimeSinceLastFullCharge	INT32	85	85s
125	/History/TimeSinceLastFullCharge	INT32	86	86s
126	/History/TimeSinceLastFullCharge	INT32	87	87s
127	/History/TimeSinceLastFullCharge	INT32	88	88s
128	/History/TimeSinceLastFullCharge	INT32	89	89s
128	/Dc/0/Current	DOUBLE	-0.4000000059604645	-0.4A
128	/Dc/0/Power	INT32	-10	-10W
129	/History/TimeSinceLastFullCharge	INT32	90	90s
130	/History/TimeSinceLastFullCharge	INT32	91	91s
131	/Dc/0/Current	DOUBLE	-0.6000000238418579	-0.6A
131	/Dc/0/Power	INT32	-16	-16W
131	/History/TimeSinceLastFullCharge	INT32	92	92s
132	/History/TimeSinceLastFullCharge	INT32	93	93s
133	/History/TimeSinceLastFullCharge	INT32	94	94s
134	/Dc/0/Current	DOUBLE	-0.5	-0.5A
134	/Dc/0/Power	INT32	-13	-13W
134	/History/TimeSinceLastFullCharge	INT32	95	95s
135	/History/TimeSinceLastFullCharge	INT32	96	96s
136	/History/TimeSinceLastFullCharge	INT32	97	97s
137	/History/TimeSinceLastFullCharge	INT32	98	98s
138	/History/TimeSinceLastFullCharge	INT32	99	99s
139	/History/TimeSinceLastFullCharge	INT32	100	100s
140	/Dc/0/Current	DOUBLE	-0.30000001192092896	-0.3A
140	/Dc/0/Power	INT32	-8	-8W
140	/History/TimeSinceLastFullCharge	INT32	101	101s
141	/Dc/0/Current	DOUBLE	-0.5	-0.5A
141	/Dc/0/Power	INT32	-13	-13W
141	/History/TimeSinceLastFullCharge	INT32	102	102s
142	/History/TimeSinceLastFullCharge	INT32	103	103s
143	/Dc/0/Current	DOUBLE	-0.4000000059604645	-0.4A
143	/Dc/0/Power	INT32	-10	-10W
143	/History/TimeSinceLastFullCharge	INT32	104	104s
144	/Dc/0/Current	DOUBLE	-0.5	-0.5A
144	/Dc/0/Power	INT32	-13	-13W
145	/History/TimeSinceLastFullCharge	INT32	105	105s
146	/History/TimeSinceLastFullCharge	INT32	106	106s
146	/Dc/0/Current	DOUBLE	-0.20000000298023224	-0.2A
146	/Dc/0/Power	INT32	-5	-5W
147	/History/TimeSinceLastFullCharge	INT32	107	107s
148	/History/TimeSinceLastFullCharge	INT32	108	108s
149	/History/TimeSinceLastFullCharge	INT32	109	109s
150	/History/TimeSinceLastFullCharge	INT32	110	110s
150	/Dc/0/Current	DOUBLE	0.0	0.0A
150	/Dc/0/Power	INT32	0	0W
151	/TimeToGo	ARRAY	[]	
151	/History/TimeSinceLastFullCharge	INT32	111	111s
152	/Dc/0/Current	DOUBLE	-0.20000000298023224	-0.2A
152	/Dc/0/Power	INT32	-5	-5W
152	/TimeToGo	UINT32	864000	864000s
152	/History/TimeSinceLastFullCharge	INT32	112	112s
153	/History/TimeSinceLastFullCharge	INT32	113	113s
153	/Dc/0/Current	DOUBLE	-0.5	-0.5A
153	/Dc/0/Power	INT32	-13	-13W
154	/History/TimeSinceLastFullCharge	INT32	114	114s
155	/Dc/0/Current	DOUBLE	-0.699999988079071	-0.7A
155	/Dc/0/Power	INT32	-18	-18W
155	/History/TimeSinceLastFullCharge	INT32	115	115s
156	/History/TimeSinceLastFullCharge	INT32	116	116s
